CSD,Period,OriginalValue
"Grande Prairie County No. 1",2020,24052.74816
"Grande Prairie County No. 1",2021,29801.26292
"Cold Lake",2019,335.846
"Cold Lake",2020,195.935
"Cold Lake",2021,222.308
"Bonnyville No. 87",2019,51231.9964
"Bonnyville No. 87",2020,35610.32741
"Bonnyville No. 87",2021,36975.19185
"St. Paul County No. 19",2019,1442.5584
"St. Paul County No. 19",2020,1759.9284
"St. Paul County No. 19",2021,1792.91998
"Improvement District No. 25 Willmore Wilderness",2019,2338.406
"Improvement District No. 25 Willmore Wilderness",2020,501.02859
"Improvement District No. 25 Willmore Wilderness",2021,360.2224
Kananaskis,2019,1284.84667
Kananaskis,2020,1025.7008
Kananaskis,2021,959.04893
"Bighorn No. 8",2019,2941.08239
"Bighorn No. 8",2020,2873.99872
"Bighorn No. 8",2021,3319.87228
"Improvement District No.  9 Banff",2019,0.0602
"Improvement District No.  9 Banff",2020,0.23542
"Improvement District No.  9 Banff",2021,0.10758
"Wood Buffalo",2019,250069.5429
"Wood Buffalo",2020,222575.0938
"Wood Buffalo",2021,231810.4023
"Leduc County",2019,58017.0532
"Leduc County",2020,48358.70901
"Leduc County",2021,44069.64269
"Wetaskiwin County No. 10",2019,814.2552
"Wetaskiwin County No. 10",2020,1640.6092
"Wetaskiwin County No. 10",2021,1332.507
"Northern Lights County",2019,36.654
"Northern Lights County",2020,898.47
"Northern Lights County",2021,1184.00466
"High Level",2019,2665.4014
"High Level",2020,2027.741
"High Level",2021,1199.8076
"Athabasca County",2019,17941.5966
"Athabasca County",2020,8518.4194
"Athabasca County",2021,9681.68028
"Lesser Slave River No.124",2019,1984.29558
"Lesser Slave River No.124",2020,9725.69279
"Lesser Slave River No.124",2021,7190.91552
"Lamont County",2019,178.8
"Lamont County",2020,53.64
"Lamont County",2021,100.92157
"Yellowhead County",2019,54643.95157
"Yellowhead County",2020,49400.13616
"Yellowhead County",2021,64736.7002
Hinton,2019,12540.07453
Hinton,2020,4766.37232
Hinton,2021,4158.4711
Edson,2019,2748.2752
Edson,2020,1619.63
Edson,2021,1424.44
Redwater,2019,43.21
Redwater,2020,362.368
Redwater,2021,424.32816
